unique(temp$sendID) recParty
C00000422 REP
C00000729 REP
C00000885 DEM
C00000901 REP
C00000984 REP
C00001016 DEM
C00001198 REP
C00001388 REP
C00001636 DEM
C00002089 DEM
C00002238 REP
C00002261 REP
C00002469 DEM
C00002766 DEM
C00002840 DEM
C00002881 REP
C00002972 REP
C00003251 DEM
C00003558 DEM
C00003590 DEM
C00003632 DEM
C00003764 REP
C00003806 DEM
C00004036 DEM
C00004275 REP
C00004325 DEM
C00004473 REP
C00004812 REP
C00004861 DEM
C00004879 REP
C00004994 REP
C00005157 DEM
C00005249 REP
C00005660 REP
C00006080 REP
C00007070 REP
C00007450 REP
C00007542 DEM
C00007880 REP
C00007898 DEM
C00007922 DEM
C00007948 REP
C00008268 DEM
C00008474 REP
C00008748 REP
C00008839 REP
C00009282 REP
C00009357 DEM
C00009423 REP
C00009936 DEM
C00009985 REP
C00010082 REP
C00010124 REP
C00010322 DEM
C00010439 DEM
C00010470 REP
C00010520 REP
C00010868 REP
C00010983 REP
C00011114 DEM
C00011189 DEM
C00011262 DEM
C00012245 REP
C00012328 REP
C00012468 REP
C00012476 DEM
C00012880 REP
C00012914 REP
C00013342 DEM
C00013961 DEM
C00014555 REP
C00015933 REP
C00016683 REP
C00017244 DEM
C00017525 DEM
C00017681 DEM
C00018135 DEM
C00021295 REP
C00021972 DEM
C00022343 REP
C00022368 REP
C00022988 DEM
C00023028 REP
C00023580 DEM
C00024281 REP
C00024349 DEM
C00024521 DEM
C00024752 DEM
C00024869 REP
C00024968 REP
C00025536 REP
C00025668 DEM
C00026757 DEM
C00027342 DEM
C00027359 DEM
C00027532 REP
C00028860 DEM
C00029348 REP
C00029447 DEM
C00029504 DEM
C00030676 DEM
C00030718 REP
C00030734 REP
C00030809 REP
C00032698 REP
C00032797 REP
C00032979 DEM
C00032995 DEM
C00033423 REP
C00033589 REP
C00033779 REP
C00033969 DEM
C00033977 REP
C00034132 REP
C00034157 REP
C00034256 DEM
C00034272 REP
C00034298 REP
C00034330 DEM
C00034355 REP
C00034405 REP
C00034488 REP
C00034595 REP
C00034678 REP
C00034785 REP
C00034827 REP
C00034884 REP
C00034934 DEM
C00035204 REP
C00035451 REP
C00035519 REP
C00035535 REP
C00035675 REP
C00035683 REP
C00035774 REP
C00037606 DEM
C00038604 REP
C00038612 DEM
C00039016 REP
C00039040 REP
C00039206 REP
C00039321 REP
C00039461 REP
C00039503 REP
C00039552 REP
C00039578 REP
C00040253 REP
C00040279 REP
C00040394 REP
C00040535 REP
