Name,wDeg,deg,wPageRank,pageRank,wEig,eig,com,lCom
AK,108842,69,0.0100334776668403,0.0120876660770761,0.000463140715764144,0.0067701769974184,2,10
AL,60296,34,0.00588562613827036,0.00618442237910989,0.000369004265072901,0.00258936673637923,1,2
AR,11300,10,0.00133315923311131,0.0019112367417549,1.98646106896883e-05,0.00120819424317929,1,3
AZ,60257,7,0.00373673750550766,0.00146554876764246,0.0138967006492225,0.00066182341430189,1,9
CA,506703,80,0.0319244245242902,0.0155541524937355,0.120227098765727,0.0064303981841504,1,5
CO,208128,94,0.017244626786321,0.0166484850882201,0.0146897438470434,0.0088076048446802,2,10
CT,180924,78,0.0130675645358999,0.0130280620541457,0.024286779262644,0.0080182131981094,2,3
FL,308090,90,0.0237849616183864,0.0174169606083095,0.0239057546273124,0.0074259094785148,1,8
GA,213616,66,0.015763720081395,0.0125069664427384,0.0405589568860181,0.00526972318583493,1,6
HI,16350,13,0.00194366269008578,0.00257846181054682,3.16155538011732e-05,0.00112377102661602,1,7
IA,253556,173,0.024567516358648,0.0308982076031039,0.00839289321430001,0.0159434718370815,2,12
ID,220662,141,0.0194520758291143,0.0239897806131855,0.0128923831350064,0.0134358383417382,2,10
IL,277124,95,0.0206364311652151,0.0172940897975543,0.0429896222336555,0.008762660856699,1,7
IN,364096,165,0.0295051552408199,0.0292124279447364,0.0317691302757657,0.0152007037373061,2,3
KS,69230,87,0.00826763708149134,0.0149039213631958,4.78823403987785e-05,0.00723963770523489,1,4
KY,44275,45,0.0053550359017815,0.00845425589331252,5.97852907207013e-05,0.00367868266960829,1,5
LA,63500,75,0.00883265580918791,0.0130897932393644,2.81731213005459e-05,0.00621167409011843,1,6
MD,124163,82,0.0115396739597967,0.0153482189930128,0.0147476413091468,0.00680751826142907,1,7
MO,196298,85,0.0151066904230848,0.0150326589498451,0.0279019477539996,0.00811249003884447,1,4
NC,204915,102,0.0165830608467429,0.0182757986441304,0.0280056482879161,0.00892881659825846,1,1
ND,31250,36,0.00372496365263369,0.00630888186807783,2.39204412298386e-05,0.00345886026678765,2,10
NH,117502,59,0.00974872269801088,0.0100412769666582,0.00478712882098785,0.0052310721606111,1,2
NV,54494,42,0.00608588178689515,0.00772328504958792,0.000174587968710056,0.00365317272454937,1,11
NY,504889,84,0.0325715903706662,0.0157538341357648,0.0968325413086817,0.00739453245195386,1,1
OH,104728,53,0.0098435949337792,0.0110257234083162,0.0139147164476952,0.00427830117405462,1,1
OK,63729,36,0.00600595540689666,0.00697772954928473,0.00468935583707577,0.00367918795914473,1,10
OR,107300,95,0.012301021216767,0.0174836210263402,0.000810876604702129,0.00764406498937823,1,9
PA,569391,94,0.0361650234430117,0.0178081040024867,0.124956757359528,0.0084057383800585,1,9
SC,30769,29,0.00349436428003183,0.00541526675192656,0.00303066669935768,0.00223560921122664,1,4
SD,180638,157,0.0175879885577265,0.0262911149765102,0.000524075740309304,0.0151074066757366,2,10
UT,51687,69,0.00744409107589024,0.0126471401816989,3.25285347909047e-05,0.00548621034202999,1,11
VT,91617,55,0.00712420789766976,0.00887355838154342,0.00445076346818489,0.0059729328120671,2,12
WA,83371,67,0.0100010781840668,0.0129710313771225,0.000741530881225848,0.00532284031033245,1,12
WI,208803,101,0.0173678616502934,0.0181116035357513,0.0185571016498483,0.00903038685938092,2,5
