sendID state amount
C00000422 AZ 2500
C00000729 AZ 2500
C00001016 AZ 2000
C00002022 AZ 2500
C00002162 AZ 4000
C00002238 AZ 1000
C00002253 AZ 500
C00002840 AZ 5000
C00004101 AZ 2000
C00004275 AZ 5000
C00005249 AZ 5000
C00007070 AZ 1000
C00007450 AZ 1000
C00008227 AZ 2000
C00008748 AZ 1000
C00008839 AZ 1000
C00009936 AZ 2500
C00010322 AZ 3000
C00010421 AZ 1000
C00010470 AZ 1500
C00010983 AZ 1000
C00011114 AZ 1000
C00012476 AZ 350
C00012914 AZ 1000
C00015552 AZ 1000
C00016683 AZ 3000
C00019653 AZ 1000
C00020438 AZ 1000
C00021535 AZ 500
C00022996 AZ 1000
C00023028 AZ 2000
C00023580 AZ 5000
C00024521 AZ 5000
C00024554 AZ 1000
C00024869 AZ 3550
C00024968 AZ 1000
C00025163 AZ 2000
C00027342 AZ 5000
C00027466 AZ 228400
C00028787 AZ 1000
C00029348 AZ 1000
C00029504 AZ 500
C00030676 AZ 500
C00030718 AZ 5000
C00030734 AZ 1663
C00032599 AZ 1000
C00032805 AZ 1000
C00032979 AZ 2000
C00033423 AZ 3500
C00033456 AZ 3000
C00034538 AZ 2000
C00034553 AZ 1000
C00034884 AZ 1000
C00035220 AZ 1000
C00035451 AZ 5000
C00035493 AZ 1000
C00035675 AZ 2000
C00035709 AZ 250
C00038604 AZ 1000
C00038927 AZ 500
C00039321 AZ 5000
C00039578 AZ 2000
C00040279 AZ 1000
C00040550 AZ 2000
C00040659 AZ 250
C00040907 AZ 1000
C00041996 AZ 500
C00042366 AZ 51900
C00042895 AZ 1000
C00042903 AZ 500
C00043125 AZ 250
C00048702 AZ 500
C00051979 AZ 300
C00059899 AZ 500
C00060079 AZ 1000
C00060103 AZ 500
C00063131 AZ 500
C00063164 AZ 2000
C00064766 AZ 500
C00066472 AZ 3000
C00068692 AZ 2000
C00072025 AZ 1000
C00072769 AZ 1000
C00075341 AZ 1000
C00075820 AZ 5000
C00076299 AZ 5000
C00076810 AZ 1000
C00077321 AZ 9000
C00077354 AZ 1652
C00078451 AZ 2500
C00079442 AZ 100
C00079483 AZ 100
C00081414 AZ 2000
C00084475 AZ 500
C00085316 AZ 1000
C00087718 AZ 2000
C00087791 AZ 1000
C00088369 AZ 2652
C00088609 AZ 500
C00089086 AZ 300
C00089136 AZ 2000
C00090209 AZ 1000
C00091702 AZ 1000
C00091942 AZ 500
C00092957 AZ 1000
C00093963 AZ 1000
C00094581 AZ 500
C00095869 AZ 1000
C00096131 AZ 2500
C00096156 AZ 5000
C00096842 AZ 500
C00097089 AZ 1000
C00097220 AZ 500
C00097238 AZ 3700
C00098301 AZ 150
C00099002 AZ 5000
C00100404 AZ 250
C00101055 AZ 5000
C00101410 AZ 1000
C00101766 AZ 2500
C00102293 AZ 500
C00102764 AZ 1000
C00103937 AZ 200
C00104299 AZ 5000
C00106146 AZ 1000
C00107235 AZ 2000
C00107599 AZ 1000
C00107656 AZ 500
C00108035 AZ 1000
C00108282 AZ 1000
C00109306 AZ 500
C00109413 AZ 1000
C00109819 AZ 1000
C00110478 AZ 1000
C00110494 AZ 2000
C00110759 AZ 1000
C00111716 AZ 300
C00112144 AZ 1000
C00112698 AZ 1500
C00112722 AZ 1000
C00113043 AZ 1000
C00114108 AZ 1000
C00114132 AZ 1000
C00114702 AZ 1000
C00115618 AZ 100
C00116483 AZ 250
C00117408 AZ 2000
C00117424 AZ 2000
C00118919 AZ 1000
C00123612 AZ 4000
C00123976 AZ 100
C00125641 AZ 750
C00125823 AZ 1000
C00125831 AZ 1000
C00127670 AZ 500
C00128231 AZ 1000
C00128918 AZ 1000
C00131045 AZ 2000
C00131557 AZ 1000
C00138560 AZ 2000
C00139451 AZ 1000
C00141002 AZ 1000
C00141226 AZ 2000
C00141960 AZ 5000
C00142117 AZ 5000
C00143719 AZ 500
C00143867 AZ 100
C00144261 AZ 2000
C00144766 AZ 5000
C00145342 AZ 1000
C00146944 AZ 1000
C00147066 AZ 3000
C00147173 AZ 4500
C00147736 AZ 1000
C00148031 AZ 1000
C00151787 AZ 500
C00153015 AZ 350
C00156935 AZ 1000
C00157925 AZ 5000
C00158865 AZ 1000
C00158899 AZ 1000
C00160770 AZ 1500
C00161133 AZ 1000
C00161570 AZ 500
C00162495 AZ 1000
C00162529 AZ 500
C00163360 AZ 500
C00164152 AZ 2000
C00164392 AZ 150
C00165936 AZ 500
C00166074 AZ 2000
C00167593 AZ 3000
C00167619 AZ 1000
C00167684 AZ 2000
C00168203 AZ 500
C00168211 AZ 1000
C00168864 AZ 1000
C00169201 AZ 5000
C00170555 AZ 500
C00171843 AZ 500
C00176727 AZ 500
C00177055 AZ 1000
C00177998 AZ 2000
C00179762 AZ 1000
C00184390 AZ 1000
C00185124 AZ 4500
C00185173 AZ 1000
C00190496 AZ 1000
C00192971 AZ 1000
C00193979 AZ 1000
C00194746 AZ 1000
C00195107 AZ 5000
C00195123 AZ 1500
C00195560 AZ 1000
C00196246 AZ 5000
C00197244 AZ 500
C00198184 AZ 10000
C00201863 AZ 1000
C00202564 AZ 1000
C00204453 AZ 1000
C00205369 AZ 1000
C00205443 AZ 2750
C00206672 AZ 1000
C00207258 AZ 1000
C00207969 AZ 1500
C00210542 AZ 3000
C00212142 AZ 2500
C00213868 AZ 2000
C00214379 AZ 1000
C00214700 AZ 250
C00215202 AZ 400
C00215343 AZ 5000
C00216234 AZ 1000
C00216564 AZ 1000
C00216895 AZ 1000
C00226548 AZ 200
C00227744 AZ 1000
C00228759 AZ 1000
C00229088 AZ 1000
C00231944 AZ 400
C00000026 CA 1000
C00000042 CA 1500
C00000059 CA 1000
C00000422 CA 5000
C00000729 CA 3500
C00000901 CA 5000
C00001016 CA 5000
C00001198 CA 1000
C00001388 CA 1000
C00001594 CA 1000
C00001636 CA 5000
C00001727 CA 3103
C00001875 CA 2000
C00002022 CA 5000
C00002089 CA 5000
C00002162 CA 1550
C00002238 CA 1000
C00002253 CA 1507
C00002261 CA 2000
C00002394 CA 2000
C00002469 CA 5000
C00002766 CA 5000
C00002790 CA 1000
C00002840 CA 5000
C00002881 CA 500
C00002972 CA 5000
C00003459 CA 3000
C00003558 CA 5000
C00003590 CA 5000
C00003632 CA 5000
C00003756 CA 500
C00003764 CA 4000
C00003806 CA 5000
C00004036 CA 5000
C00004101 CA 2500
C00004275 CA 5000
C00004325 CA 5000
C00004366 CA 500
C00004515 CA 2500
C00004960 CA 1000
C00004994 CA 2000
C00005157 CA 2000
C00005249 CA 7500
C00005660 CA 3000
C00005835 CA 500
C00006247 CA 2500
C00006338 CA 1500
C00007047 CA 1500
C00007070 CA 1000
C00007328 CA 5000
C00007450 CA 500
C00007542 CA 5000
C00007880 CA 2500
C00007898 CA 1000
C00008268 CA 3800
C00008425 CA 3999
C00008748 CA 5399
C00009357 CA 500
C00009704 CA 1000
C00009902 CA 2250
C00009910 CA 500
C00009928 CA 5000
C00009936 CA 2000
C00010082 CA 5000
C00010322 CA 5000
C00010421 CA 3000
C00010470 CA 5000
C00010488 CA 3500
C00010868 CA 1000
C00010983 CA 2000
C00011189 CA 1000
C00011338 CA 3000
C00012013 CA 5000
C00012401 CA 5000
C00012476 CA 5000
C00012914 CA 1000
C00013128 CA 1000
C00013342 CA 2500
C00014019 CA 2000
C00014407 CA 1000
C00014555 CA 4500
C00014613 CA 1000
C00014878 CA 280
C00015552 CA 1000
C00016386 CA 3333
C00016683 CA 1000
C00017244 CA 5000
C00017525 CA 2000
C00018028 CA 1000
C00019083 CA 1000
C00021972 CA 1000
C00022343 CA 5000
C00022988 CA 300
C00022996 CA 1000
C00023028 CA 2000
C00023580 CA 7000
C00024281 CA 5000
C00024299 CA 1000
C00024554 CA 500
C00024703 CA 1000
C00024752 CA 3000
C00024869 CA 3400
C00024968 CA 3000
C00025163 CA 3500
C00025205 CA 1000
C00025213 CA 1500
C00026724 CA 2000
C00026757 CA 1000
C00027342 CA 5000
C00027359 CA 5000
C00027466 CA 1877385
C00028605 CA 1000
C00028670 CA 2000
C00028787 CA 2230
C00028860 CA 5000
C00029165 CA 4978
C00029348 CA 2000
C00029447 CA 6100
C00030452 CA 2000
C00030478 CA 1000
C00030635 CA 5000
C00030718 CA 5000
C00030783 CA 3000
C00032599 CA 5000
C00032656 CA 500
C00032748 CA 5000
C00032805 CA 5000
C00032813 CA 2000
C00032979 CA 5000
C00032995 CA 5000
C00033050 CA 500
C00033704 CA 3575
C00033753 CA 6150
C00033779 CA 1000
C00033944 CA 1650
C00033969 CA 780
C00033977 CA 1000
C00034041 CA 1000
C00034132 CA 4200
C00034157 CA 3000
C00034173 CA 300
C00034207 CA 4500
C00034272 CA 1500
C00034330 CA 1000
C00034363 CA 2500
C00034405 CA 5000
C00034728 CA 200
C00034785 CA 500
C00034827 CA 2000
C00034934 CA 4999
C00035188 CA 5000
