sendID state amount
C00000422 AK 5000
C00000729 AK 5000
C00000885 AK 2000
C00001016 AK 5000
C00001503 AK 250
C00001636 AK 5000
C00001727 AK 2030
C00002022 AK 3000
C00002469 AK 5000
C00003251 AK 5000
C00003590 AK 2000
C00003806 AK 5000
C00003830 AK 1000
C00004275 AK 5000
C00004960 AK 1000
C00005157 AK 1000
C00005249 AK 5000
C00005660 AK 2000
C00005728 AK 500
C00005835 AK 500
C00007880 AK 1000
C00007922 AK 5000
C00008748 AK 1000
C00008839 AK 1000
C00009530 AK 1000
C00009761 AK 1000
C00009936 AK 1000
C00009985 AK 3000
C00010082 AK 5000
C00010322 AK 1000
C00010421 AK 5000
C00010470 AK 4500
C00010868 AK 1000
C00011114 AK 5000
C00012021 AK 2000
C00012476 AK 2000
C00013961 AK 1000
C00016683 AK 1000
C00017525 AK 182
C00018028 AK 1000
C00023580 AK 5000
C00024349 AK 1750
C00024521 AK 5000
C00024869 AK 4500
C00024968 AK 1500
C00025213 AK 500
C00025346 AK 1000
C00027144 AK 500
C00027342 AK 5000
C00027359 AK 3000
C00027466 AK 110480
C00027532 AK 2000
C00028670 AK 500
C00028787 AK 2500
C00029165 AK 1027
C00029348 AK 2000
C00029447 AK 3000
C00029504 AK 4500
C00030452 AK 1000
C00030718 AK 3000
C00032698 AK 1000
C00032805 AK 5000
C00032979 AK 5000
C00033423 AK 384
C00033456 AK 2000
C00034041 AK 1000
C00034132 AK 5000
C00034553 AK 500
C00034595 AK 1000
C00034876 AK 250
C00034934 AK 1500
C00035006 AK 5000
C00035162 AK 500
C00035451 AK 5000
C00035519 AK 300
C00035592 AK 1000
C00035675 AK 1000
C00035683 AK 1000
C00035691 AK 5000
C00038570 AK 1000
C00039503 AK 500
C00040394 AK 1000
C00040469 AK 1000
C00040550 AK 2180
C00040568 AK 3000
C00040667 AK 500
C00040907 AK 500
C00040923 AK 250
C00040998 AK 1000
C00041178 AK 1000
C00041566 AK 1000
C00041608 AK 1000
C00041616 AK 1000
C00042366 AK 106393
C00043489 AK 1000
C00053553 AK 4950
C00055236 AK 1000
C00056192 AK 1000
C00059329 AK 2005
C00060103 AK 3500
C00060707 AK 500
C00064766 AK 2000
C00065987 AK 2000
C00068692 AK 4500
C00074096 AK 1500
C00074310 AK 1500
C00075820 AK 5000
C00076075 AK 500
C00076133 AK 1000
C00076299 AK 1000
C00077305 AK 500
C00078261 AK 1000
C00079541 AK 5000
C00079681 AK 1000
C00079855 AK 500
C00080515 AK 1000
C00081455 AK 1000
C00082792 AK 7000
C00082917 AK 5000
C00083840 AK 500
C00083857 AK 1000
C00085308 AK 500
C00085316 AK 1000
C00085373 AK 1000
C00087874 AK 3000
C00088088 AK 1000
C00088369 AK 5000
C00088591 AK 2500
C00089342 AK 4000
C00089961 AK 1000
C00091702 AK 2000
C00092304 AK 3500
C00094656 AK 6500
C00095406 AK 7500
C00095869 AK 500
C00096842 AK 1000
C00097089 AK 1000
C00097725 AK 2500
C00099655 AK 2500
C00099937 AK 5000
C00100107 AK 1000
C00100305 AK 250
C00100321 AK 4000
C00100495 AK 3500
C00101204 AK 2363
C00101410 AK 3000
C00102590 AK 1000
C00102764 AK 1000
C00104299 AK 3000
C00104851 AK 2500
C00106146 AK 1000
C00106609 AK 1000
C00107128 AK 1000
C00109306 AK 1000
C00109355 AK 2000
C00109793 AK 500
C00109819 AK 4000
C00109983 AK 250
C00110494 AK 1000
C00110759 AK 2000
C00110858 AK 2000
