Name,wDeg,deg,wPageRank,pageRank,wEig,eig,com,lCom
AZ,1394942,405,0.0128465653966122,0.0145714366978129,0.0185514159180136,0.00554527826892637,1,14
CA,3417939,321,0.0279580132413044,0.0140174315283005,0.0770862683641362,0.00355626140078355,2,1
CT,490150,245,0.00628745739742868,0.00941306679460434,0.000417260957728308,0.00317091534753784,2,10
DE,962266,340,0.00919153453247431,0.0118217970940797,0.00644791815193002,0.00481628288936798,2,13
FL,668138,283,0.00842276741296997,0.0111311136204579,0.00035870211603371,0.00360928974249158,2,12
HI,119464,66,0.00144340325859348,0.00241131523615912,1.08635233147146e-05,0.0010699053047906,2,3
IN,596145,278,0.00761381883022901,0.0109285269914039,0.000254882000255137,0.00361544063856902,2,6
MA,1134589,47,0.00819063950829902,0.00206697908128397,0.0299080632236659,0.000457287825664598,1,11
MD,1029750,262,0.0099450346701425,0.0103439936999063,0.0126009660625316,0.00331095275821764,2,9
ME,970526,386,0.0101669478228219,0.0141854090871311,0.0057617076474607,0.00512957531929776,1,14
MI,2779281,545,0.0263483553212556,0.0225466554890847,0.0449385153500279,0.00633987524298379,1,4
MN,1952692,527,0.0199126312372831,0.0208266876355996,0.0213227501229499,0.00643586949073163,1,5
MO,1897269,535,0.0200911422536889,0.0219977121475804,0.0226660809320746,0.00645011061226425,1,6
MS,672363,307,0.00731661911710116,0.0109105164456724,0.000426059820082601,0.00433443467311189,2,7
MT,1205081,445,0.0118068467099345,0.0156664357484102,0.00650623209872205,0.00614156638320029,2,3
ND,686921,342,0.00789846998785096,0.0122204659750591,0.000667045317008227,0.00452027091375556,2,8
NE,932653,352,0.0104771019928874,0.0133031244474182,0.00379996270870671,0.004482016802915,2,8
NJ,2257650,411,0.0203647177273806,0.0162753648314775,0.0380451152871504,0.00501685891116004,2,9
NM,967232,322,0.00894985482590008,0.0112373240353703,0.00632400598955877,0.00447997912833516,2,8
NV,746810,282,0.00785590728283993,0.0103930872808197,0.00506799959124814,0.00353787414666595,2,12
NY,727744,307,0.00903033830967993,0.0121490732060474,0.00419048710695322,0.00357271904810469,2,10
OH,3292582,629,0.0300161371345656,0.0247826150893005,0.0528993524867217,0.00748038495733372,1,13
OK,1140556,403,0.0123060475944675,0.0156370842986909,0.00958619337513867,0.00504487209379245,1,14
PA,3642874,682,0.0351588245861372,0.0289478958078216,0.0596676415540901,0.00755604993843348,1,11
RI,511004,263,0.0057403558924609,0.00934490473503868,0.00153146041469088,0.00358501778909284,2,10
TN,3402532,594,0.0302237986321017,0.022650142056357,0.0488353688737321,0.00707913540150221,2,12
TX,3873640,540,0.0353795201319924,0.023738705234545,0.0677933589761274,0.00570256200656922,1,7
UT,694719,359,0.00819835705758791,0.0131038713806783,0.000650931803992585,0.0046584328992683,2,10
VA,1933845,369,0.0174000300377562,0.0142783165092016,0.0314996097863537,0.00450514210227977,2,1
VT,575308,185,0.00541759458203576,0.0066229718321681,0.00621930220408427,0.00275387878037389,2,13
WA,1533072,400,0.0153459356895348,0.0158976384240623,0.0210798502337922,0.00507187860984681,1,2
WI,259969,51,0.00287332923605653,0.00242006149584558,0.000199723823571603,0.000587877008030238,1,5
WV,228150,131,0.00231767859874032,0.00435609957718542,1.89262205440543e-05,0.0020491639752397,2,4
WY,828332,325,0.00808569553263067,0.0113516173704597,0.00478095510743769,0.00457931964419283,1,14
