sendID state amount
C00000059 AK 1000
C00000885 AK 1000
C00001016 AK 5000
C00001289 AK 1000
C00002238 AK 1000
C00002881 AK 5000
C00002972 AK 5000
C00003160 AK 4000
C00004036 AK 5000
C00004275 AK 2000
C00004325 AK 4500
C00004879 AK 3000
C00007880 AK 3500
C00008748 AK 3000
C00009985 AK 4000
C00010082 AK 5000
C00010322 AK 2500
C00010470 AK 5000
C00010983 AK 2000
C00011114 AK 1000
C00016386 AK 300
C00023580 AK 2000
C00024281 AK 1000
C00024869 AK 4000
C00024968 AK 3000
C00025536 AK 5000
C00027359 AK 1000
C00027532 AK 4000
C00027987 AK 1000
C00029447 AK 1000
C00030676 AK 2000
C00030718 AK 5000
C00032979 AK 5000
C00033977 AK 500
C00034041 AK 2000
C00034173 AK 1000
C00034355 AK 1000
C00034488 AK 5000
C00035006 AK 1000
C00035451 AK 5000
C00035683 AK 5000
C00035691 AK 1000
C00039214 AK 1000
C00039461 AK 1000
C00040998 AK 5000
C00041061 AK 3000
C00041947 AK 1000
C00043463 AK 2000
C00043489 AK 1000
C00043687 AK 1000
C00045781 AK 1000
C00046474 AK 4000
C00051979 AK 1000
C00060103 AK 8250
C00064766 AK 4250
C00067231 AK 1000
C00072025 AK 5000
C00073056 AK 4000
C00075358 AK 2000
C00077321 AK 5000
C00078261 AK 4000
C00078451 AK 5000
C00082917 AK 1000
C00084475 AK 1000
C00085373 AK 1000
C00086348 AK 5000
C00088591 AK 4000
C00089342 AK 500
C00090209 AK 1000
C00092957 AK 1000
C00093195 AK 1000
C00093948 AK 5000
C00095869 AK 1000
C00097568 AK 4000
C00099937 AK 1000
C00100107 AK 2000
C00100305 AK 1000
C00100404 AK 1000
C00101204 AK 2000
C00101410 AK 1000
C00101725 AK 2000
C00101766 AK 3000
C00103549 AK 1000
C00103697 AK 2000
C00106146 AK 2000
C00107128 AK 1000
C00107300 AK 1000
C00108282 AK 1000
C00109165 AK 500
C00109819 AK 1000
C00111658 AK 1000
C00113001 AK 1500
C00113811 AK 1000
C00116145 AK 1000
C00118208 AK 1000
C00123612 AK 3000
C00126847 AK 1000
C00129122 AK 2000
C00131185 AK 5000
C00135590 AK 1000
C00138339 AK 1000
C00138560 AK 1000
C00139519 AK 2500
C00141002 AK 1000
C00142299 AK 1000
C00142711 AK 5000
C00142836 AK 2000
C00143305 AK 2000
C00145342 AK 1000
C00147231 AK 1041
C00151340 AK 4999
C00151787 AK 5000
C00157586 AK 1000
C00163311 AK 1000
C00163832 AK 1000
C00164152 AK 1000
C00164939 AK 1000
C00166512 AK 3000
C00167668 AK 1000
C00167759 AK 5000
C00169508 AK 500
C00171926 AK 1000
C00185124 AK 5000
C00194746 AK 1000
C00195263 AK 6000
C00197095 AK 1000
C00197749 AK 5000
C00199653 AK 1000
C00199703 AK 5000
C00201491 AK 4000
C00201863 AK 1000
C00205369 AK 500
C00206052 AK 3000
C00206672 AK 1000
C00211318 AK 2000
C00213173 AK 1000
C00215285 AK 5000
C00215590 AK 500
C00217471 AK 1000
C00224105 AK 1000
C00224618 AK 1000
C00227546 AK 5000
C00231951 AK 1000
C00235572 AK 5000
C00236760 AK 1000
C00238725 AK 2500
C00243675 AK 5000
C00245548 AK 1000
C00247403 AK 1000
C00248195 AK 1000
C00248716 AK 2000
C00249342 AK 2000
C00250209 AK 2000
C00250399 AK 5000
C00251876 AK 3000
C00252866 AK 1000
C00253971 AK 1000
C00261339 AK 1000
C00262295 AK 1000
C00267849 AK 2000
C00270413 AK 5000
C00279380 AK 2000
C00280321 AK 1000
C00281212 AK 5000
C00284885 AK 2000
C00286807 AK 1500
