Name,wDeg,deg,wPageRank,pageRank,wEig,eig,com,lCom
C00000901,121000,26,0.000578615097776499,0.000837588738741503,0.000102721025845711,0.00152933681744991,1,10
AK,3191091,189,0.00850622709981103,0.00705030883437471,0.0174088508329941,0.0019723593855689,1,10
C00000984,25250,14,0.00015573856541473,0.000484673611363772,3.04169919025828e-05,0.000941021404057445,1,3
C00001198,78500,22,0.000367713553819887,0.000725817907328171,9.61636378299093e-05,0.00143439812180952,1,8
C00003806,46997,15,0.000203744048605596,0.000522355425260218,9.06460686963096e-05,0.00106215332711351,1,7
C00004036,2896765,21,0.00560443970098737,0.000697993375084979,0.00994764438992945,0.00134145391945389,1,3
C00004325,33500,15,0.000202749971125677,0.000518107087739957,3.17550951612623e-05,0.000800401079331218,2,3
C00004473,93600,24,0.000494476792504679,0.000781437353067884,5.68223788908405e-05,0.00147985354894575,2,5
C00007880,137600,28,0.000651716382694511,0.000904297590062332,0.000130797240031452,0.00166510082657749,2,8
C00007922,73500,16,0.000376192268676555,0.000545175222185196,5.0504043341331e-05,0.000946429824319913,2,3
C00008474,92950,21,0.000430973981055269,0.000692233007644675,0.000121656877696664,0.00131363688387305,1,7
C00009282,67500,16,0.000337069750398299,0.0005444880730174,7.56454795662133e-05,0.000989970084876197,2,6
C00009985,72949,23,0.00035871887203983,0.000749236187334297,7.90169001819948e-05,0.00138502864698608,1,3
C00010082,126500,26,0.00063723459708301,0.000840475923640722,9.86348342063139e-05,0.00151116740727939,2,10
C00010421,105000,20,0.000462970465686376,0.000662412189603886,0.00011586486552478,0.00131050201606985,1,8
C00010470,122000,23,0.000632650759500559,0.000750239189463154,6.0528142012635e-05,0.00132118947003933,1,10
C00021295,26500,11,0.000170061808539825,0.000398231014711272,2.97312466227591e-05,0.000769473359706345,1,9
C00024349,6000,4,9.08650052505073e-05,0.000188740509380601,9.17677544169751e-06,0.000231350029335692,2,3
C00024869,116000,28,0.000586312022764744,0.0009050919232969,9.67894329726423e-05,0.00168614190682587,1,7
C00027342,127700,23,0.000624416478922822,0.000757428445765066,9.55149606993637e-05,0.00144238744897077,2,3
C00027466,31016044,19,0.0595780621247749,0.000636305678262895,0.098220741019161,0.00128228008940868,1,8
C00027532,47800,16,0.000243608856626804,0.000549829370542262,5.3768128832755e-05,0.000937939016556577,2,6
C00029447,575864,27,0.00144987882069391,0.000875760029224134,0.00174423077413115,0.00159336368893505,2,1
C00029504,85000,16,0.00040960871251914,0.000546757071245628,7.17574923120269e-05,0.00103201733298598,2,4
C00032573,25000,11,0.000155400053539373,0.000396945751685437,3.64161593937376e-05,0.000780399077046973,1,7
C00034488,109999,27,0.00058333376819084,0.000873626196970255,6.46067998352547e-05,0.00157555327161474,2,6
C00035006,105000,22,0.000488880563673371,0.000733651830263003,0.000112847709035144,0.00136813390330143,1,2
C00035683,82000,18,0.000468276871691977,0.000610612634560793,2.94544620112669e-05,0.00104928908373451,1,1
C00035691,37500,14,0.000231035785738967,0.000483103547680594,2.13166452482842e-05,0.000889571058948245,1,6
C00039164,1000,1,6.86386050516109e-05,9.79674222680123e-05,6.54858194194582e-07,2.68432711673467e-05,1,10
C00039503,26500,8,0.000178804666959049,0.000305257603567573,1.16436035648644e-05,0.000537490141226187,1,9
C00040394,46000,12,0.000247511738344347,0.000425868533905498,4.87908208766176e-05,0.000797262957993478,1,10
C00042366,66689328,11,0.134275929701022,0.000399683333702411,0.198816377857603,0.00083729929064486,1,10
C00043992,13105,9,0.000101041453993867,0.000341741471936951,3.44839708097299e-05,0.000628514604448126,2,10
C00046474,51450,21,0.000311699586528563,0.000696766704894906,2.93917826059432e-05,0.0012835405711767,2,3
C00053553,2379522,21,0.00511679955863047,0.00069401759698292,0.00634627646488789,0.00139476575115644,1,9
C00068692,111500,24,0.000538878733081716,0.000776921088863894,8.21531181529352e-05,0.00141502548589799,1,10
C00075358,4600,2,8.55597780463449e-05,0.00012887985850784,1.50640203906475e-06,6.11727635992295e-05,2,6
C00076133,16000,8,0.000130491152223438,0.000308938775835148,1.64347531244832e-05,0.000544140834816551,1,3
C00078261,22500,7,0.00017194689559787,0.000277263701308694,1.29293461236052e-05,0.000434513882837217,2,4
C00078451,64000,18,0.00032196928798811,0.000610951670517919,6.67428020519683e-05,0.00114078689666292,2,8
C00082917,114686,19,0.000484586243181378,0.000635375989717858,0.000153729843977055,0.001249786379888,1,2
C00088591,93500,20,0.000497185533081547,0.000668664726482821,5.96995475161858e-05,0.00119803286613625,1,7
C00089342,26000,9,0.000174072833601406,0.000336027422810525,3.25407451328605e-05,0.000570063316843775,1,5
C00096156,146500,28,0.000720208960569964,0.000906031756880282,0.000110290849950612,0.00164770159776536,1,6
C00097550,36500,13,0.000248657055431351,0.000457877071310279,1.86460278096489e-05,0.000766767203626223,1,1
C00097568,97500,25,0.000502679574697457,0.000817880919034762,7.13146945185095e-05,0.00151517331127943,2,3
C00100305,1000,1,6.86386050516109e-05,9.79674222680123e-05,6.54858194194582e-07,2.68432711673467e-05,1,10
C00101204,41100,12,0.00017778855995667,0.000431970937433863,9.22376560604923e-05,0.000770056545694805,2,6
C00101725,15000,10,0.000118049590375836,0.000365421090172572,1.5924367711068e-05,0.000621073785603712,1,7
C00101766,23500,7,0.00017657506049766,0.000279200185019445,9.60458773827394e-06,0.000393399729231941,1,10
C00103549,23500,9,0.000159326916378419,0.000340377080984035,2.36079669842976e-05,0.000660538563753301,1,10
C00107300,26000,8,0.000195710427868868,0.000309389600906813,6.07890208514848e-06,0.000472587767819254,2,1
C00109546,82500,16,0.000347201576863193,0.000546576819328971,0.000117177917901818,0.00110231730685631,1,10
C00111278,604862,14,0.00150268662287708,0.000484670242124653,0.00135930959783552,0.000979587294901201,1,10
C00112680,14000,10,0.000102278955137569,0.000369431220343409,3.31776708736908e-05,0.000724290517837449,1,10
