Name,wDeg,deg,wPageRank,pageRank,wEig,eig
C00000901,121000,26,0.00101599218745043,0.000838799429334777,0.00100362708513696,0.00153158600945451
AK,998087,187,0.00848430573669141,0.0069482956677848,0.0107096142934106,0.00195853700127219
C00000984,25250,14,0.000260823951171096,0.000485465432308742,0.000247018724055003,0.000942207436068522
C00001198,78500,22,0.00067432899466834,0.000726910493195152,0.000775919395015184,0.00143663361262003
C00003806,46703,15,0.000413265788117802,0.00052306832700152,0.000865304800418812,0.00106311143496185
C00004036,797616,21,0.00592621701270742,0.000699282885915412,0.0193044190331743,0.0013429724742082
C00004325,33500,15,0.000333386623139264,0.000518860798515974,0.00030806224897092,0.000801721097691436
C00004473,93600,24,0.000820340824375523,0.000782617302761055,0.000465152384367056,0.00148290174368683
C00007880,137600,28,0.00115457589463924,0.000906023377507506,0.0011726888075433,0.0016674720227334
C00007922,73500,16,0.000644266309308628,0.000546157712920294,0.00062690119045891,0.00094780400877303
C00008474,92950,21,0.000788760234808602,0.000693383589521436,0.00100012176584024,0.00131571201302919
C00009282,67500,16,0.000597349562536018,0.000545230600810558,0.000468872030120436,0.000991172813074977
C00009985,72949,23,0.00063355379517925,0.000750460736815868,0.000760035446352318,0.00138723044256131
C00010082,126500,26,0.00108045322516605,0.000841751985754566,0.000624652065393423,0.00151394179472079
C00010421,105000,20,0.000871265227140383,0.000663397598632227,0.0010845327691281,0.00131192820161329
C00010470,122000,23,0.00103638775549665,0.000751250858890177,0.000569515911799939,0.00132314358803391
C00021295,26500,11,0.000275207793254476,0.000398770024900426,0.000221401895722412,0.000770705707380622
C00024349,6000,4,0.000114830509808623,0.00018895124959319,5.78861327489561e-05,0.000231640867799208
C00024869,116000,28,0.00099746101715323,0.000906564120536841,0.000779156162716803,0.00168902351798272
C00027342,127700,23,0.00107896279975596,0.000758588309253337,0.00117265644102214,0.00144487039662016
C00027466,82438,18,0.000673209168702261,0.000606759663462441,0.00128548548333345,0.00121061741249609
C00027532,47800,16,0.00044279043874873,0.000550347062370195,0.000389474330932517,0.000939496056864485
C00029447,575864,27,0.00420046481215095,0.000877063125796743,0.01066509024411,0.00159602966637741
C00029504,85000,16,0.00073241800599053,0.000547571067301703,0.000869595981843198,0.00103356159175168
C00032573,25000,11,0.000255974520696956,0.000397517688423096,0.000403696798346426,0.000780984254801053
C00034488,109999,27,0.000961459597986565,0.0008748496909952,0.000741201926236382,0.00157830375618051
C00035006,105000,22,0.000885976930616721,0.000734786382615152,0.00106977401252476,0.00136969997212481
C00035683,82000,18,0.000747636835943599,0.00061132385717201,0.000225012707985067,0.00105126463437205
C00035691,37500,14,0.000358632432303153,0.000483811276885222,0.000253492244638898,0.000890442418483127
C00039164,1000,1,7.38209637636754e-05,9.80488991796362e-05,8.63063970021372e-06,2.66791338187316e-05
C00039503,26500,8,0.000277538728104833,0.000305656131009238,0.000118117270627466,0.000538242380554039
C00040394,46000,12,0.000416490029737593,0.000426379608131465,0.000519975916940126,0.000798105734266827
