Name,wDeg,deg,wPageRank,pageRank,wEig,eig
C00000059,14000,5,8.03631864845662e-05,0.000186155246178077,5.52170187898891e-06,0.000310330349245202
AK,31674817,577,0.0253775172238575,0.0171947348526845,0.0295223526342394,0.00533614417763207
C00000729,91000,21,0.00023638261031151,0.000609433144494888,4.60652128675222e-05,0.00115462688732073
C00000885,72000,17,0.000179620874951194,0.000509284267901535,4.56911493058822e-05,0.000923950301235086
C00001016,83000,17,0.000188877422532431,0.000509659239622722,6.08537315299084e-05,0.000968959778396882
C00001198,88000,23,0.000261459237939503,0.000658622259806311,2.93154759770888e-05,0.00118018530678947
C00001636,65000,16,0.000161491873623952,0.000471862975704573,3.77363527033636e-05,0.000829153601995219
C00001727,6500,5,6.38413416670445e-05,0.000194594971023457,6.29369851650852e-06,0.000295657939499516
C00002089,95500,20,0.000213728339377676,0.000584759565137532,6.6590601017824e-05,0.00109974328732113
C00002261,54000,17,0.000162216281865685,0.000501186078279884,3.17883026260456e-05,0.000962981576726291
C00002469,70000,14,0.000172425599856,0.000428209927808703,4.74131851993723e-05,0.000776886470119959
C00002766,102000,21,0.0002234327665241,0.000612379056109002,6.21576281043644e-05,0.00115494284746909
C00002840,73000,17,0.000163237624001353,0.000505703809865706,5.08895979617419e-05,0.000938946545810084
C00002881,94500,23,0.000259145440073519,0.000653031244099121,4.50288528116131e-05,0.00118353564515556
C00002972,96900,22,0.000253916338644435,0.000626404089072878,4.79227551981912e-05,0.00117286415834181
C00003160,16500,5,8.37816067799485e-05,0.000189805364858582,6.14546610659542e-06,0.000318026359041589
C00003251,117000,23,0.000260950934432792,0.000660800993775281,6.36911451660147e-05,0.00124908194749021
C00003632,32500,10,9.05253794543693e-05,0.000328910506477686,2.72947550935992e-05,0.000657994775600752
C00003764,105000,20,0.000243088557120979,0.000585302052256474,7.56386379559361e-05,0.00117142303228042
C00004036,2053109,17,0.00160608522640668,0.000506817594790763,0.00387430898060237,0.000978915793507981
C00004275,112000,20,0.00028052577128896,0.000579226866782857,7.89111364878009e-05,0.00109215353458418
C00004325,61000,13,0.00015159137199011,0.000405708841757174,5.41471743644034e-05,0.000786398397225249
C00004473,53000,16,0.000141414446980631,0.000473426366036695,3.96374231773833e-05,0.000962275771535888
C00004812,128500,28,0.000307005744759508,0.000789964078490646,7.04657813615738e-05,0.00147942248819622
C00004861,56000,12,0.000116723366246709,0.000379316892939244,5.76891161073248e-05,0.000737749491929662
C00005249,174250,30,0.00044150856094555,0.000834700698519117,7.73751815279534e-05,0.00143768947837915
C00006080,98500,21,0.000229242851790392,0.000608897519643866,6.30796908307136e-05,0.00120144056464171
C00007450,50750,16,0.000140048613574194,0.000478305265067631,3.86787646099395e-05,0.000933290579860364
C00007880,473523,19,0.000586627039747036,0.000555617223495721,0.000292486894998057,0.00104679896530196
C00007898,51000,16,0.00012552363726792,0.000484719603214884,4.05027268758759e-05,0.000990710936280903
C00008268,90000,18,0.000194411335763971,0.000532438072280968,6.34203606760067e-05,0.00099219118011874
C00008474,91500,23,0.000217765792923778,0.000652250882373071,5.950093947425e-05,0.00124000025411306
C00008748,38000,9,0.000130078597731727,0.000294736463095858,1.72926823934834e-05,0.000469380839605569
C00009704,9583,9,7.33596962250806e-05,0.000296193033799235,1.02455973276067e-05,0.000559512291474363
C00009936,87000,19,0.000199909556080133,0.000556461049228877,5.25422860945894e-05,0.0010413527017015
C00009985,97700,29,0.000258545588609886,0.000811561249680575,4.35916511405539e-05,0.0014652059026724
C00010082,146500,28,0.000379899192927916,0.000782526568367983,6.60691434283086e-05,0.00135007120711609
C00010421,128500,23,0.000274220000629946,0.000663138930079407,0.000104382196971161,0.00131719442010808
C00010470,162500,27,0.000414646835738991,0.000757178912800454,7.5912667985357e-05,0.00128102944915123
C00011114,5872718,22,0.00435106856957391,0.000636598520671748,0.0103625137754858,0.00119183782343211
