Name,wDeg,deg,wPageRank,pageRank,wEig,eig
AK,1268502,339,0.00531735628055082,0.0105319869394722,1.31059545456575e-06,0.00299031059862126
AL,777153,247,0.00336747048652506,0.00737838760360726,2.90571761543894e-07,0.00223792076874708
AR,1238103,351,0.00481316492540158,0.0102983519746817,9.73472035623663e-07,0.00330178384533768
AZ,2971480,346,0.00780332203769495,0.0104055902662382,1.5509809137216e-06,0.00326413018210976
CA,2096741,190,0.00755792835146003,0.00729182063871706,1.93110782331789e-06,0.00131627039986798
CO,5355215,490,0.0117334690619342,0.0150245230531214,2.55708200247669e-05,0.00412593073160747
CT,663846,224,0.00270018663798268,0.00657896131387118,1.81246876340906e-06,0.00186116455518131
FL,37096132,676,0.0263499028275526,0.0228265306967307,0.0232743663278018,0.00532520659077765
GA,3081280,440,0.00718066274416083,0.0129559157446396,5.69163693234634e-05,0.00405864277395358
HI,655897,198,0.0021796834751166,0.0054455159887295,2.52979668054086e-06,0.00203149478000567
IA,1907986,462,0.0069880663210647,0.0141169837218052,1.6561238433895e-05,0.00413755522517547
ID,1322510,403,0.00554886138402599,0.0118809412760296,1.05737567873467e-06,0.00366873443926898
IL,4424727,552,0.0116517440930824,0.0170240042200964,0.000100484916265186,0.00483869140441643
IN,46051041,682,0.0286316741874395,0.0229609000272373,0.0450554964370531,0.00543303759469788
KS,988585,303,0.00407129999733346,0.00886652010991647,5.36747247119028e-07,0.00287829712087144
KY,1574558,174,0.00422605655337583,0.0053891960894325,1.13579574730036e-05,0.00178095761441086
LA,5128513,339,0.00951583734592217,0.0117332890271441,0.000265959702279517,0.00256778583661937
MD,1286339,303,0.0045927736036991,0.00907376115518833,2.60508659164766e-06,0.00274424763216247
MO,49477270,773,0.0301468472662792,0.0240271703728323,0.0416874490843913,0.00658581279613765
NC,70893021,860,0.0394639196433632,0.0267874572952381,0.0668159542082505,0.00698911852004609
ND,739879,238,0.00266400878015179,0.006719223750186,7.44884671648059e-07,0.00242402108488746
NH,84980716,756,0.0418558800712775,0.0227303888526788,0.0641108358395561,0.00644838009593213
NV,91365912,530,0.0453932565583835,0.0170045416841401,0.0707249409514273,0.00423597220431455
NY,1839080,491,0.0076806213479033,0.0148839622034761,3.3917558147143e-06,0.00414894330294546
OH,48945957,899,0.0339732113323569,0.028881098638151,0.0184734851869306,0.00716394135741956
OK,556154,184,0.00212945186474398,0.00523944507751321,4.58061802963183e-07,0.00185694102590283
OR,1298941,422,0.00555430536871167,0.0125278390542721,1.38963588490563e-06,0.00363224158474188
PA,121966201,927,0.0616886227813828,0.0306618033575989,0.0917236094975533,0.00703489126537413
SC,1310436,396,0.00458007683383227,0.0111657186563818,6.30526692370761e-07,0.00374159287911386
SD,1291268,434,0.0054487014788658,0.0126296892702942,6.90932570500958e-07,0.00383352522587186
UT,566703,186,0.00204208215715368,0.00538622847412238,6.91479538547891e-07,0.00177320108313215
VT,596884,173,0.00207796027764421,0.00491003655089264,2.86415546348727e-06,0.00167900071459558
WA,1357327,403,0.00605919533327169,0.0123847920024415,2.29089707788021e-06,0.00345533278967406
WI,26332290,480,0.0157097129134464,0.0140861979265666,0.0107063860826283,0.00450965508279384
